id,utr_id,gross_amount_paise,net_payout_paise,payout_date,created_at
a1148254-f7bf-449f-9c4b-21eecf8fd6d8,UTR202608000001RZP,27515600,26931168,2026-08-02T20:00:00+00:00,2026-08-02T20:00:00+00:00
3a3fbb83-2900-4490-aa59-1bf67d9aad39,UTR202608000002RZP,23915100,23407143,2026-08-03T12:00:00+00:00,2026-08-03T12:00:00+00:00
6c736bf6-31e8-4cf9-9b99-eb549aef518b,UTR202608000003RZP,24323500,23806869,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00
36a7544e-5083-4159-ba84-a2ac881b2d52,UTR202608000004RZP,27939900,26194357,2026-08-05T13:00:00+00:00,2026-08-05T13:00:00+00:00
eefff52d-118f-4b0c-8a6f-be6c2fcd3fea,UTR202608000005RZP,24327600,23810882,2026-08-06T21:00:00+00:00,2026-08-06T21:00:00+00:00
27beff02-48df-4db9-bd6d-18cbb248ef45,UTR202608000006RZP,29056600,28439438,2026-08-07T13:00:00+00:00,2026-08-07T13:00:00+00:00
51a523bb-ae22-437c-9995-02788e67a0ad,UTR202608000007RZP,28739100,28128681,2026-08-08T15:00:00+00:00,2026-08-08T15:00:00+00:00
29190e63-5dc6-40bf-bbd7-76a0bd83ad47,UTR202608000008RZP,27253100,26674244,2026-08-09T18:00:00+00:00,2026-08-09T18:00:00+00:00
605e7873-5612-4182-9557-e95b30d180f0,UTR202608000009RZP,29218900,28598291,2026-08-10T18:00:00+00:00,2026-08-10T18:00:00+00:00
46e98a88-6b97-443a-9611-6545425fbc65,UTR202608000010RZP,28166300,27568048,2026-08-11T18:00:00+00:00,2026-08-11T18:00:00+00:00
0087125e-1ad9-465a-98a1-1f30ab410d3d,UTR202608000011RZP,31206400,30543576,2026-08-12T10:00:00+00:00,2026-08-12T10:00:00+00:00
6bf54b1b-a605-444c-a70d-5881617475fe,UTR202608000012RZP,27128800,26552585,2026-08-13T19:00:00+00:00,2026-08-13T19:00:00+00:00
905e0f96-0b19-4083-bc4b-365061bf6bce,UTR202608000013RZP,30637500,29772296,2026-08-14T17:00:00+00:00,2026-08-14T17:00:00+00:00
33e20d99-d030-4591-95e5-b4c6f0d9c53d,UTR202608000014RZP,26609400,25703932,2026-08-15T12:00:00+00:00,2026-08-15T12:00:00+00:00
ec7ccdaa-1c41-4b96-88d2-964036bbeab1,UTR202608000015RZP,27916600,27323651,2026-08-16T13:00:00+00:00,2026-08-16T13:00:00+00:00
1a44d091-315f-4274-ac79-5aa06c22d116,UTR202608000016RZP,19579000,18290364,2026-08-17T14:00:00+00:00,2026-08-17T14:00:00+00:00
c709975a-bdd1-456c-aef9-b0a2c3d70089,UTR202608000017RZP,29464000,27709850,2026-08-18T20:00:00+00:00,2026-08-18T20:00:00+00:00
