id,payout_id,line_type,tax_basis_paise,deducted_amount_paise,expected_amount_paise
3e1c52ea-9072-45f4-9aa2-ba1dc56ddfa1,5dcc395b-a7df-4d5c-b671-cd209183d988,MDR,25525800,459464,459464
de69c7b3-4340-4816-bbc6-2f1c7b0a8f23,9e6dc5c5-ca81-4bd8-b816-97448634a7ed,MDR,23915100,430472,430472
b3cd08da-e09d-460c-b38e-3500c19d0fce,f4412a20-c26f-40dd-884b-fd64e5f6e82b,MDR,24323500,437823,437823
0ca580e0-0f81-4f90-af33-98c1421a8709,be46e401-e924-4e92-9481-6cbe5b5fd2ae,MDR,27805800,500504,500504
342e4d38-d06a-4b86-8e86-5e4121fa28fd,d504e47d-a475-4c55-b321-792029cdcef9,MDR,24192200,435460,435460
aceb1433-fe01-40dc-9bc4-f24fc5eb2daf,aba17827-bccd-44a3-9f5a-38a5e731e7d8,MDR,30506800,549122,549122
e3d16182-6dc4-4289-82f0-7e6224111d4c,7a0f2664-5309-4ca0-8202-23e8407eaf4d,MDR,27682000,498276,498276
51517bb3-caae-4f9e-a99f-8fee7f7e2042,628f62b5-5bfd-4867-a659-eedb65b4937b,MDR,26413100,475436,475436
2762edf5-7433-4556-85cd-d1ae504cf16f,10780613-318e-4796-acb0-57bee3c063d9,MDR,26623000,479214,479214
17acd839-0b56-4af6-99d8-3a815ccb1eef,85ee92a5-d65e-4e2b-9369-d02a19beb848,MDR,30717800,552920,552920
17bc8051-761f-4633-a4ab-a3f21be4586a,8f9d39bf-f741-4658-80e6-de14f1a13c4f,MDR,32902500,592245,592245
0b8c9fd9-136f-4d25-afe9-090926300723,6b97cc4e-30eb-433b-bee5-5cb4d0c0094a,MDR,25724200,463036,463036
204055a7-2e4b-4fcd-8d95-1ea78f8d468d,3636abfa-248d-4168-98e1-0a661bc1f61c,MDR,28891700,722292,520051
6f97544f-8d7f-428d-ad52-1aea85a17e5d,e38cb415-eb09-4f5b-aec5-faa58aec5227,MDR,26294100,473294,473294
9440d25a-0ea9-44ad-b255-14e72603c3a0,511ee8be-899c-491f-901b-1c499cba6c0a,MDR,27916600,502499,502499
f9805c55-0f7b-4444-89db-faafecf6cfdb,a3cbb522-fb42-4be8-83e2-1083d37e6b1f,MDR,19579000,352422,352422
f6f725a8-8791-445f-b394-d75156410d9d,d92d386e-a71a-49b2-b6a1-008545b4a84a,MDR,29464000,530352,530352
88bebeff-64f7-4f05-b08a-4f0a4e85a0b8,1593e49c-4459-4abe-89db-aa35f5f934e9,MDR,29343300,528179,528179
1e3deec1-875c-45c3-9498-0336189e7903,27129e6b-1fd9-4200-8dff-5efd2e1e97e7,MDR,28831700,518971,518971
95628bcf-9fda-46a7-9d6b-508168ba3fc9,c573eabf-a045-4a17-971a-7cdef9cf0f77,MDR,23789600,428213,428213
9b6ae5ae-f606-4564-910c-34fd857a61a6,a23d56ee-44b1-4d83-ac17-93a6885e8bfd,MDR,27870800,501674,501674
31d6564e-6670-4ce7-b44a-d5e0cc024fb7,0693b1d3-4dab-44b4-87a6-6887bba7163f,MDR,25328000,455904,455904
aa5409f0-b474-4248-b00b-2911c95a453c,98e32269-62e7-4f06-a673-677c46a065ac,MDR,33670200,606064,606064
55c22414-6b7d-4297-8d62-64d87c8275c3,1519200c-eeaf-4725-9477-61ed2922f935,MDR,24755600,445601,445601
f64b70d4-5573-4f03-9a48-50b1dbc44b03,0e5966ef-1a2a-409a-80f8-18abafc0fdec,MDR,27575500,496359,496359
6a7c9abb-550a-4ff4-93fb-2f9923d8f17b,9fbaf5f2-fd4f-432b-8acc-4271b530617b,MDR,26528600,477515,477515
6a01f99f-fe41-407b-b877-5e2dd813ebc5,1ceeb858-f320-4f04-97de-c93b72ca081b,MDR,33697100,606548,606548
6f2b34d5-0966-4cfe-9af7-ffefdfb8994d,6e4f2a3f-c1e4-45b1-b671-87e7c1c52861,MDR,33137600,596477,596477
a81d3d9b-7ce9-4bfb-8d0e-1ee4319f27f8,cacfcfaa-b9fa-4ad0-a5a9-0039db34598f,MDR,25233800,454208,454208
81ec051f-d8e4-4388-91ae-2fc9112f2497,4b3b1e2f-11e6-44a1-bc68-150b8b1864dc,MDR,24543700,441787,441787
d8c6ab5e-1f70-4bf1-800d-900d5efe830c,40674644-4d17-4d82-b8c8-f219faa5c046,MDR,24303300,437459,437459
d9c48d77-f747-43ea-a45a-6a05feb590ec,c71a6bfe-d819-4565-9f55-728431e0bc0f,MDR,23111300,416003,416003
0bd67b4a-1c4a-453a-9b17-2cca9617dc43,95309ca6-a014-4811-bd89-cf1ac5d6e253,MDR,25784600,464123,464123
2ad5c2a9-11a0-401a-ade0-af71cfb50547,402f89dd-acb2-45ce-9493-571f9de2479d,MDR,26479200,476626,476626
ea6415e0-d8a0-4d46-bc76-03a798668f5d,b153df33-84c8-4b0b-8e79-1c3a69cefe22,MDR,24854500,447381,447381
76906aaf-901c-4048-8d2b-f58a974ac867,29e846de-a139-46ce-8f3d-5c50d7f494b1,MDR,32961900,593314,593314
332ae4a9-a020-4c11-984a-1a87b814fbf1,0827a61c-aa1f-47ed-a23a-bcfa1a96cb2f,MDR,21368200,384628,384628
fe39de0e-7ca7-475d-bfe0-6bd0831fc328,52ace861-afe5-42e1-ae6a-e8881ba34122,MDR,26552800,477950,477950
a5f31be4-6dcd-4465-b2f4-ee1cff896677,fa391f73-7945-4a8a-bb0b-6b15845c1d47,MDR,27139900,488518,488518
f3fcb1fe-426a-4737-8746-a69c19b91d1a,2a9831bc-7e4d-4d39-9784-1026d171a462,MDR,34900700,628213,628213
f759d0b5-c112-41a7-aaff-c99ba96f7c48,32d89b0f-5c69-4ba4-bb15-34d82289c6be,MDR,26042300,468761,468761
9b8d464f-ca31-468f-9820-7454f144b2f5,70ff75e5-0798-4430-b23b-5b110c96216e,MDR,26842600,483167,483167
9c5f6cb6-f498-4dff-b111-55e4075fc67c,c17c49a5-ed80-487e-9aad-d189c282ce07,MDR,19597400,352753,352753
c3336963-1460-4086-a942-a52eddfc244f,29a7eb46-a51f-42c8-8bde-39672c307d5a,MDR,28913000,520434,520434
ddd049b5-def9-449f-89c9-e122e74cc176,a7a87e76-4bc7-44f9-b5a8-cbcf29f9a98e,MDR,23088400,415591,415591
6d3c219c-0be1-4986-b387-3d0b62a0c76a,e6d1a973-eb8e-4980-ad99-8ad1ee03740c,MDR,22701700,408631,408631
6fcfcd1b-319a-498f-ad48-e3762dc098b0,c328643e-93f0-4fd2-bde7-1e306ea8f740,MDR,20578000,370404,370404
f4393813-15ec-49c3-8f69-8da1b8b61834,daecbf18-0371-431a-821c-ffa228c450c1,MDR,19533000,351594,351594
37e7eca2-7873-4f1e-8f95-18a6cfa65564,49d5cf2a-dade-4daa-8fc7-975ab644c16d,MDR,28779500,518031,518031
2f3fb14c-31d2-458f-87df-bd54ce486f45,d68dfbfe-fc5a-41c7-8f3c-e13309194fd8,MDR,21304800,383486,383486
fa4c6c2b-5145-486a-9257-d9c8c53e1096,55b7f2cb-a650-4062-b510-66415137d4f1,MDR,28594000,514692,514692
e61cebc7-d7ed-4632-9381-78d9a67ddbae,6c498ec2-beeb-44b8-bece-d836fbf1a1aa,MDR,25113200,452038,452038
820bbac4-10a2-4ede-819c-08fafdd33c7a,953c479f-8251-4de8-ae2f-c5107b113b66,MDR,27250300,681258,490505
1c95df5f-7795-441a-a577-2519e30416df,78bf61dc-a055-4862-af42-7cfc8edafc1c,MDR,26131200,470362,470362
054a5724-b833-428c-b50c-93395ee72db6,bc24eaa9-bfd4-42ad-b048-5adb75565e75,MDR,21603800,388868,388868
